producto_id,stock_disponible,stock_reservado
1,45,8
2,387,7
3,328,4
4,220,6
5,217,4
6,430,3
7,43,4
8,349,3
9,101,8
10,48,4
11,264,3
12,488,5
13,368,8
14,381,3
15,359,10
16,394,5
17,257,7
18,65,10
19,420,4
20,226,2
21,251,8
22,186,0
23,92,5
24,464,10
25,391,4
26,0,0
27,202,5
28,412,2
29,273,3
30,222,5
31,226,1
32,114,4
33,47,4
34,278,9
35,444,1
36,32,9
37,430,4
38,414,7
39,139,6
40,316,3
41,83,10
42,380,2
43,351,0
44,178,8
45,34,6
46,486,9
47,223,5
48,447,0
49,339,0
50,390,4
51,380,2
52,98,10
53,182,1
54,234,9
55,249,2
56,22,1
57,274,3
58,78,1
59,372,4
60,342,3
61,462,5
62,373,5
63,0,0
64,484,1
65,206,1
66,163,2
67,453,1
68,186,3
69,39,6
70,235,3
71,398,3
72,95,5
73,232,6
74,65,3
75,344,2
76,238,4
77,166,0
78,114,5
79,283,10
80,335,4
81,471,1
82,219,7
83,81,1
84,417,2
85,315,1
86,351,9
87,49,10
88,157,6
89,384,6
90,417,7
91,218,6
92,403,5
93,421,10
94,194,8
95,450,0
96,145,4
97,120,10
98,342,4
99,319,2
100,70,9
101,417,6
102,100,6
103,403,4
104,4,1
105,399,4
106,394,4
107,391,10
108,333,3
109,236,1
110,353,4
111,139,10
112,391,5
113,0,0
114,230,7
115,253,7
116,285,3
117,19,10
118,70,6
119,123,0
120,58,4
121,220,10
122,335,4
123,328,6
124,236,6
125,428,7
126,283,9
127,40,1
128,0,0
129,288,5
130,318,1
131,283,7
132,277,1
133,46,5
134,280,3
135,398,1
136,152,9
137,302,2
138,16,2
139,174,9
140,219,9
141,492,0
142,108,3
143,139,7
144,205,8
145,497,10
146,427,6
147,18,0
148,117,9
149,411,1
150,30,1
151,428,7
152,141,6
153,459,0
154,0,0
155,218,6
156,331,2
157,0,0
158,279,4
159,253,6
160,392,5
161,499,4
162,333,3
163,205,7
164,204,5
165,209,6
166,0,0
167,161,2
168,84,10
169,168,6
170,12,7
171,54,9
172,46,10
173,386,7
174,362,8
175,349,5
176,231,8
177,359,3
178,81,7
179,451,0
180,251,10
181,470,2
182,77,7
183,249,0
184,349,1
185,248,10
186,224,9
187,84,2
188,191,1
189,120,8
190,151,10
191,342,1
192,316,7
193,304,3
194,181,8
195,480,4
196,44,1
197,172,3
198,60,5
199,170,8
200,481,0
201,184,10
202,455,7
203,248,9
204,350,10
205,229,1
206,133,1
207,383,8
208,485,2
209,132,1
210,390,5
211,131,10
212,359,8
213,395,5
214,225,2
215,369,3
216,137,7
217,40,1
218,49,5
219,224,0
220,452,3
221,64,2
222,228,7
223,353,10
224,102,1
225,361,8
226,153,7
227,405,10
228,290,10
229,274,1
230,89,8
231,232,6
232,429,1
233,10,2
234,380,10
235,247,5
236,360,3
237,332,3
238,217,9
239,155,3
240,314,1
241,71,6
242,293,10
243,48,2
244,325,2
245,315,5
246,43,2
247,379,7
248,208,2
249,394,1
250,21,2
251,90,10
252,247,10
253,95,5
254,165,4
255,331,9
256,73,2
257,0,0
258,52,7
259,88,7
260,294,2
261,397,7
262,86,6
263,150,9
264,463,1
265,495,6
266,291,9
267,224,3
268,174,8
269,307,1
270,296,7
271,148,6
272,12,2
273,76,0
274,480,8
275,210,2
276,242,5
277,234,0
278,392,10
279,33,6
280,42,10
281,138,1
282,244,2
283,336,6
284,246,6
285,221,8
286,469,10
287,81,9
288,286,1
289,272,3
290,237,10
291,404,6
292,134,9
293,477,6
294,166,0
295,273,5
296,261,9
297,425,7
298,220,1
299,0,0
300,11,9
301,182,10
302,414,8
303,5,1
304,449,6
305,272,9
306,71,7
307,152,6
308,278,5
309,158,2
310,55,3
311,0,0
312,337,0
313,60,0
314,141,4
315,122,8
316,330,7
317,366,6
318,364,5
319,470,1
320,385,3
321,161,0
322,54,8
323,308,8
324,459,2
325,488,3
326,116,3
327,119,9
328,19,5
329,71,8
330,278,4
331,274,7
332,186,5
333,155,3
334,415,9
335,231,7
336,405,8
337,0,0
338,159,2
339,0,0
340,0,0
341,318,3
342,146,4
343,311,2
344,258,4
345,453,4
346,128,3
347,496,8
348,469,6
349,91,5
350,83,1
351,267,6
352,23,1
353,150,3
354,218,4
355,485,1
356,0,0
357,76,2
358,446,9
359,46,9
360,375,0
361,423,6
362,446,7
363,112,4
364,447,5
365,58,8
366,260,4
367,235,0
368,158,4
369,12,2
370,387,4
371,168,2
372,331,1
373,206,10
374,187,1
375,444,7
376,48,7
377,369,6
378,374,10
379,190,0
380,132,3
381,0,0
382,469,6
383,474,6
384,121,9
385,16,4
386,62,2
387,34,10
388,416,7
389,446,8
390,77,4
391,374,4
392,90,4
393,184,8
394,300,2
395,360,10
396,438,1
397,23,5
398,99,3
399,141,7
400,156,7
401,500,10
402,389,8
403,161,2
404,486,2
405,250,9
406,251,5
407,217,1
408,72,9
409,468,7
410,7,0
411,88,8
412,115,6
413,0,0
414,66,9
415,9,5
416,339,5
417,485,6
418,61,2
419,149,1
420,254,9
421,464,2
422,348,5
423,384,2
424,291,2
425,209,6
426,100,8
427,433,4
428,403,1
429,0,0
430,358,1
431,43,9
432,370,3
433,413,4
434,66,0
435,217,4
436,62,10
437,284,4
438,0,0
439,41,2
440,199,1
441,487,8
442,0,0
443,67,4
444,245,3
445,255,0
446,332,5
447,157,10
448,478,0
449,261,8
450,144,5
451,481,7
452,463,1
453,250,9
454,13,0
455,299,9
456,278,7
457,75,3
458,317,0
459,421,6
460,53,0
461,362,6
462,71,8
463,375,2
464,210,2
465,4,2
466,484,2
467,83,1
468,299,2
469,91,7
470,467,3
471,370,8
472,403,9
473,217,8
474,234,5
475,318,3
476,393,10
477,424,2
478,9,5
479,332,4
480,55,8
481,144,6
482,415,8
483,126,10
484,399,4
485,232,9
486,117,1
487,168,10
488,266,1
489,383,9
490,304,4
491,467,10
492,434,1
493,377,5
494,302,9
495,145,0
496,207,2
497,60,0
498,188,3
499,464,4
500,213,6
501,57,2
502,326,1
503,482,1
504,434,10
505,0,0
506,227,2
507,266,2
508,124,0
509,135,10
510,119,7
511,498,8
512,374,3
513,421,7
514,409,0
515,480,7
516,53,6
517,441,3
518,34,7
519,238,7
520,298,4
521,179,2
522,74,0
523,97,10
524,413,3
525,160,3
526,156,7
527,462,2
528,72,4
529,458,7
530,461,6
531,300,7
532,83,0
533,78,4
534,143,5
535,289,6
536,0,0
537,228,1
538,58,8
539,271,7
540,11,8
541,355,2
542,28,10
543,98,3
544,88,7
545,416,1
546,27,10
547,215,3
548,296,8
549,258,3
550,341,8
551,402,4
552,197,0
553,415,2
554,159,7
555,493,2
556,253,3
557,369,5
558,438,2
559,397,1
560,426,6
561,269,7
562,22,8
563,247,10
564,91,1
565,445,4
566,119,2
567,115,9
568,125,5
569,322,1
570,286,7
571,475,0
572,209,3
573,142,7
574,25,5
575,4,8
576,187,6
577,463,9
578,262,6
579,447,0
580,51,0
581,47,8
582,417,0
583,54,4
584,26,0
585,203,3
586,463,6
587,345,1
588,50,5
589,419,10
590,422,0
591,401,0
592,452,2
593,120,9
594,490,4
595,161,7
596,402,0
597,290,8
598,390,0
599,314,7
600,322,1
601,309,9
602,390,3
603,370,2
604,68,3
605,414,0
606,269,1
607,162,6
608,258,3
609,484,3
610,429,8
611,417,1
612,232,4
613,393,2
614,0,0
615,344,3
616,320,0
617,125,0
618,134,9
619,31,0
620,0,0
621,217,10
622,239,5
623,83,3
624,209,8
625,303,10
626,117,1
627,170,10
628,184,10
629,253,1
630,184,0
631,369,7
632,164,0
633,217,6
634,190,0
635,92,7
636,343,2
637,118,1
638,149,0
639,397,2
640,475,5
641,336,0
642,459,8
643,428,6
644,241,3
645,386,10
646,165,7
647,231,7
648,268,1
649,481,7
650,425,6
651,245,10
652,327,5
653,102,7
654,403,3
655,277,0
656,267,1
657,384,9
658,317,8
659,37,4
660,145,7
661,89,0
662,368,0
663,18,5
664,102,6
665,299,10
666,348,8
667,252,2
668,431,8
669,460,5
670,67,9
671,477,1
672,308,0
673,0,0
674,48,10
675,311,0
676,363,10
677,291,7
678,43,1
679,262,9
680,468,1
681,362,1
682,69,6
683,480,3
684,480,3
685,85,2
686,401,6
687,204,0
688,297,2
689,223,6
690,392,5
691,499,7
692,398,2
693,466,7
694,474,8
695,46,4
696,127,2
697,361,6
698,296,6
699,26,1
700,48,6
701,261,1
702,309,6
703,84,10
704,86,5
705,65,8
706,283,3
707,4,10
708,287,8
709,238,10
710,233,8
711,340,7
712,262,5
713,364,10
714,382,9
715,0,0
716,400,0
717,259,0
718,247,2
719,118,0
720,300,2
721,70,1
722,0,0
723,423,1
724,60,6
725,393,3
726,59,1
727,361,7
728,44,10
729,245,8
730,329,10
731,365,6
732,210,7
733,461,1
734,388,9
735,105,8
736,336,2
737,366,3
738,167,6
739,370,0
740,450,8
741,409,3
742,382,0
743,318,3
744,136,9
745,398,3
746,0,0
747,267,8
748,158,0
749,157,8
750,79,3
751,481,7
752,74,2
753,44,1
754,469,8
755,278,8
756,219,10
757,369,7
758,192,5
