category,name,brand_name,cmr_price,internet_price,event_price,normal_price,link,description,image_url,local_image
tecnologia,"Impresora Multifuncional Smart Tank 580 Wi-Fi Color, App",HP,569,579,,829,https://www.falabella.com.pe/falabella-pe/product/19601072/impresora-hp-smart-tank-580/19601072?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522pe%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc4OTA0MzA1NDA4Ng%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v_Cd3QoQBqoqEpXtcQOuBB7AjtX44hIQAaA3IJW8ddmFJD3TM-6s_xoQAZvNemXTdtGSmvtut0s1ZSIMCggxOTYwMTA3MhABMJiAigFIAVC1k5baiDRgsQJyEAAAAAAAAAAAAAAAAAAAAAB4AQ%2522%252C%2522slot%2522%253A1%252C%2522signal%2522%253A%2522Tecnologia%2522%252C%2522categoryId%2522%253A%2522cat40793%2522%252C%2522store%2522%253A%2522falabella%2522%252C%2522providerName%2522%253A%2522topsort%2522%257D%257D,,https://media.falabella.com/falabellaPE/19601072_20/public,imagenes/0000_Impresora_Multifuncional_Smart_Tank_580_Wi-Fi_Colo.jpg
tecnologia,Celular Galaxy A37 5G,SAMSUNG,,"1,449",,"1,799",https://www.falabella.com.pe/falabella-pe/product/80007793/celular-samsung-galaxy-a37-5g/80007796?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522pe%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc4OTA0MzA1NDA4Ng%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522XEtGnQoQBqoqEpXtcQOuBB7AjtX44hIQAaBZsEkjdWmx1p1snFGCohoQAZvNeqAkeiCFVcF5qqWF4yIMCgg4MDAwNzc5MxABMI-BigFIAVC1k5baiDRghwFyEAAAAAAAAAAAAAAAAAAAAAB4AoUBAAAgQQ%2522%252C%2522slot%2522%253A2%252C%2522signal%2522%253A%2522Tecnologia%2522%252C%2522categoryId%2522%253A%2522cat40793%2522%252C%2522store%2522%253A%2522falabella%2522%252C%2522providerName%2522%253A%2522topsort%2522%257D%257D,,https://media.falabella.com/falabellaPE/80007796_21/public,imagenes/0001_Celular_Galaxy_A37_5G.jpg
tecnologia,IPhone 17 Pro Max 256GB,APPLE,,"5,599",,"6,599",https://www.falabella.com.pe/falabella-pe/product/prod18580273/iPhone-17-Pro-Max-256GB/21283555,Ficha del producto:<br>Incluye: Cable de carga USB¿C (1 metro)<br>País de origen: China<br>Condicion del producto: Nuevo<br>Marca: Apple<br>Sistema operativo: iOS<br>Tamaño de la pantalla: 6.9 pulgadas<br>Memoria RAM: No Aplica<br>Capacidad de almacenamiento: 256GB<br>Cámara posterior: 48MP<br>Cámara frontal: 18MP<br>Capacidad de la batería (en mAh): No Aplica<br>Generación: 5G<br>Incluye cargador: No<br>Sello SEC: si<br>Procesador: A19 Pro chip<br>Año de lanzamiento: 2025,https://media.falabella.com/falabellaPE/21283554_01/public,imagenes/0002_IPhone_17_Pro_Max_256GB.jpg
tecnologia,IPhone 17 Pro 256GB,APPLE,,"4,899",,"5,999",https://www.falabella.com.pe/falabella-pe/product/prod18580271/iphone-17-pro-256gb/21283549,Ficha del producto:<br>Incluye: Cable de carga USB¿C (1 metro)<br>País de origen: China<br>Condicion del producto: Nuevo<br>Marca: Apple<br>Sistema operativo: iOS<br>Tamaño de la pantalla: 6.3 pulgadas<br>Memoria RAM: No Aplica<br>Capacidad de almacenamiento: 256GB<br>Cámara posterior: 48MP<br>Cámara frontal: 18MP<br>Capacidad de la batería (en mAh): No Aplica<br>Generación: 5G<br>Incluye cargador: No<br>Sello SEC: si<br>Procesador: A19 Pro chip<br>Año de lanzamiento: 2025,https://media.falabella.com/falabellaPE/21283548_01/public,imagenes/0003_IPhone_17_Pro_256GB.jpg
tecnologia,"Laptop IdeaPad Slim 3i Intel Core i5 16GB RAM 512GB SSD 15.3"" WUXGA",LENOVO,"2,699","2,799",,"4,999",https://www.falabella.com.pe/falabella-pe/product/883856471/laptop-lenovo-ideapad-slim-3i-intel-core-i5-16gb-ram-512gb-ssd-15-3-wuxga/883856471,,https://media.falabella.com/falabellaPE/883856471_1/public,imagenes/0004_Laptop_IdeaPad_Slim_3i_Intel_Core_i5_16GB_RAM_512G.jpg
electrohogar,Robot Aspirador D30 Ultra Todo En Uno Succion 25000pa,DREAME,,,"2,399","3,499",https://www.falabella.com.pe/falabella-pe/product/155403223/robot-aspirador-dreame-d30-ultra-todo-en-uno-succion-25000pa/155403224?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522pe%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc4OTA0MzA1NDA4Ng%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522XUkeSgoQBqoqGRxddTe5BEtijtX44hIQAaAKu1G4dwm9rhBIGSHpuBoQAZvqKFrbdFGb9MNtk5_WJiINCgkxNTU0MDMyMjMQATD2rooBSAFQpcOc2og0YJcEchAAAAAAAAAAAAAAAAAAAAAAeAE%2522%252C%2522slot%2522%253A1%252C%2522signal%2522%253A%2522Electrohogar%2522%252C%2522categoryId%2522%253A%2522cat40584%2522%252C%2522store%2522%253A%2522falabella%2522%252C%2522providerName%2522%253A%2522topsort%2522%257D%257D,"25000Pa Vormax Suction: la potente succión Vormax garantiza una limpieza profunda, mientras que el cepillo flotante de goma desenreda el cabello y el reconocimiento ultrasónico de alfombras mejora la limpieza de alfombras y alfombras para una limpieza perfecta.<br>Tecnología MopExtend RoboSwing: D30 Ultra extiende sus almohadillas de limpieza hasta 4 cm para llegar debajo de las camas, a lo largo de los bordes y en las esquinas restringidas, eliminando la suciedad oculta para una limpieza realmente profunda.<br>Limpieza sin esfuerzo: impulsado por la tecnología DuoScrub, este robot aspirador y combinación de fregona utiliza dos fregonas giratorias rápidas que frotan bajo presión para combatir la suciedad persistente y los derrames desordenados. Las almohadillas de limpieza de doble fibra minimizan los rastros de agua y garantizan una limpieza más rápida y profunda en cada paso.<br>Autolimpieza eficaz con menos residuos: AceClean DryBoard utiliza 20 boquillas de alta temperatura para lavar y drenar las mopas giratorias en tiempo real, de modo que permanecen limpias y libres de residuos, para una limpieza limpia e higiénica.<br>Diagnóstico de las necesidades de su alfombra: D30 Ultra ofrece varios modos de limpieza de alfombras: fregona, limpieza intensiva de alfombras con succión, aspiradora y fregona, evitación de alfombras y limpieza prioritaria de alfombras. Elija el método óptimo para cada alfombra de su hogar.<br>Limpieza rápida, eficiente y económica: disfruta de una carga un 30% más rápida gracias a la avanzada tecnología Dreame, que permite que la batería de 5200mAh alimente rápidamente a tu robot hasta 230 minutos de succión continua en modo estándar. El D30 Ultra no solo ofrece un rendimiento excepcional, sino que también ayuda a ahorrar en costes de electricidad gracias a la carga de horas de trabajo, lo que la convierte en una opción inteligente y económica para una limpieza sin esfuerzo.",https://media.falabella.com/falabellaPE/155403224_01/public,imagenes/0000_Robot_Aspirador_D30_Ultra_Todo_En_Uno_Succion_2500.jpg
electrohogar,Cafetera Espresso Perfect Brew,OSTER,,"1,459",,"1,999",https://www.falabella.com.pe/falabella-pe/product/20926137/cafetera-espresso-perfect-brew-oster/20926137?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522pe%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc4OTA0MzA1NDA4Ng%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522yAsjvwoQBqoqGRxddTe5BEtijtX44hIQAaAb6QEKdv63Z81HuqHbkhoQAZvNenCGetOCoArDVSIH6iIMCggyMDkyNjEzNxABMLKAigFIAVClw5zaiDRgrAJyEAAAAAAAAAAAAAAAAAAAAAB4AoUBAADAQA%2522%252C%2522slot%2522%253A2%252C%2522signal%2522%253A%2522Electrohogar%2522%252C%2522categoryId%2522%253A%2522cat40584%2522%252C%2522store%2522%253A%2522falabella%2522%252C%2522providerName%2522%253A%2522topsort%2522%257D%257D,Ficha del producto:<br>Tipo de café: Molido<br>Presión en bares: 15 bares<br>Espumador de leche: Sí<br>Apagado automático: No<br>Marca: Oster<br>Modelo: BVSTEM7301<br>Tipo: Cafeteras expresso<br>Posee filtro: Sí<br>Tipo de preparaciones: Capuccino/Café latte<br>Alto: 40<br>Ancho: 38.2<br>Profundidad: 31.5<br>Material principal: ABS<br>Hecho en: China<br>Garantía del proveedor: 1 año<br>Nombre comercial: Cafetera Espresso Oster BVSTEM7301<br>Encendido programable: No<br>Capacidad en tazas: 1 y 2<br>Realidad aumentada: No<br>Condicion del producto: Nuevo<br>Año de fabricación: 2025,https://media.falabella.com/falabellaPE/20926137_01/public,imagenes/0001_Cafetera_Espresso_Perfect_Brew.jpg
electrohogar,Refrigeradora GS51MPD 509L Multi Air Flow Side By Side Negro,LG,"1,699","1,799",,"3,099",https://www.falabella.com.pe/falabella-pe/product/20066184/Refrigeradora-GS51MPD-509L-Multi-Air-Flow-Side-By-Side-Negro-LG/20066184,"La refrigeradora Side by Side LG GS51MPD, con un elegante acabado negro y una generosa capacidad total de 509 litros, es la solución perfecta para tu cocina moderna. Disfruta de la comodidad de sus 335 litros en el refrigerador y 174 litros en el congelador, que ofrecen amplio espacio para organizar todos tus alimentos con facilidad. Su tecnología No Frost asegura que nunca tendrás que descongelar manualmente, manteniendo tus productos frescos por más tiempo. Este electrodoméstico eficiente energéticamente es ideal para el uso doméstico, combinando funcionalidad y estilo en un solo lugar para tu día a día.<br>Disfruta de la frescura de tus alimentos sin preocuparte por el hielo, gracias a su avanzada tecnología No Frost.<br>Amplio almacenamiento con una capacidad total de 509 litros, ideal para organizar tus compras semanales sin problema.<br>Accede fácilmente a tus alimentos frescos y congelados gracias a su práctico diseño Side by Side.<br>La eficiencia energética A garantiza un menor consumo de electricidad, cuidando tu bolsillo y el ambiente.<br>Material de acrílico duradero en bandejas y componentes, asegurando resistencia y facilidad de limpieza para tu comodidad.",https://media.falabella.com/falabellaPE/20066184_1/public,imagenes/0002_Refrigeradora_GS51MPD_509L_Multi_Air_Flow_Side_By_.jpg
electrohogar,Refrigeradora Croma Top Mount 246L RI-389I Indurama.,INDURAMA,,899,,"1,649",https://www.falabella.com.pe/falabella-pe/product/20547844/refrigeradora-croma-top-mount-246l-ri-389i-indurama/20547844,"Conserva tus alimentos frescos y organizados con la Refrigeradora Indurama Croma RI-389I. Su diseño Top Mount optimiza el espacio interior, ofreciendo 246 litros de capacidad total para almacenar todo lo que necesitas. Disfruta de la tecnología No Frost que evita la acumulación de hielo, facilitando la limpieza y manteniendo la frescura de tus alimentos por más tiempo. Con eficiencia energética A, esta refrigeradora te ayuda a ahorrar energía mientras cuidas el medio ambiente.<br>Amplio espacio interior con 196 litros en el refrigerador y 50 litros en el congelador.<br>Tecnología No Frost para una refrigeración uniforme y sin escarcha.<br>Eficiencia energética A que reduce el consumo eléctrico.<br>Diseño moderno y funcional que se adapta a cualquier cocina.<br>Control de temperatura para mantener tus alimentos siempre frescos.",https://media.falabella.com/falabellaPE/20547844_1/public,imagenes/0003_Refrigeradora_Croma_Top_Mount_246L_RI-389I_Induram.jpg
electrohogar,Lavadora WT20PBTX 20KG IA Carga Superior,LG,"1,499","1,599",,"1,999",https://www.falabella.com.pe/falabella-pe/product/80057827/lavadora-wt20pbtx-20kg-ia-carg/80057827,"La lavadora LG automática de carga superior WT20PBTX redefine tu rutina de lavado con tecnología avanzada y eficiencia. Con una capacidad de 20 kg, te permite lavar grandes volúmenes de ropa, mientras su sistema de Inteligencia Artificial optimiza cada ciclo para un cuidado impecable de tus prendas. Su diseño en color negro plateado y su eficiencia energética clase A complementan cualquier espacio, brindándote resultados superiores y un ahorro significativo en cada uso.<br>Disfruta de la comodidad de controlar tu lavadora a distancia gracias a su conectividad wifi.<br>Optimiza cada ciclo de lavado con la inteligencia artificial que detecta las características de tus prendas.<br>Lava más ropa en menos tiempo con su amplia capacidad de 20 kg, ideal para familias grandes.<br>Asegura la limpieza y durabilidad de tus prendas gracias a su tambor de acero inoxidable.<br>Personaliza tu lavado con 6 programas que se adaptan a diferentes tipos de tejido.",https://media.falabella.com/falabellaPE/80057827_01/public,imagenes/0004_Lavadora_WT20PBTX_20KG_IA_Carga_Superior.jpg
