orden_id,producto_id,cantidad,precio_unitario
000000000000000000000001,2254,1,199.0
000000000000000000000002,3457,1,639.0
000000000000000000000003,5324,2,189.9
000000000000000000000003,4465,1,25.9
000000000000000000000004,2788,1,229.0
000000000000000000000004,2277,1,149.0
000000000000000000000005,2818,3,249.0
000000000000000000000006,3101,3,3999.0
000000000000000000000006,646,3,149.0
000000000000000000000006,4523,2,49.9
000000000000000000000006,2402,3,89.0
000000000000000000000007,1908,2,709.0
000000000000000000000007,828,3,799.0
000000000000000000000007,3114,2,4899.0
000000000000000000000007,2278,1,649.0
000000000000000000000008,1402,3,299.0
000000000000000000000008,4376,1,169.0
000000000000000000000009,2657,1,289.0
00000000000000000000000a,4647,3,179.4
00000000000000000000000b,1144,1,639.0
00000000000000000000000c,3272,1,939.0
00000000000000000000000c,2966,3,1199.0
00000000000000000000000c,1797,2,1409.0
00000000000000000000000d,3459,2,1638.0
00000000000000000000000d,4886,2,69.9
00000000000000000000000d,521,3,729.0
00000000000000000000000e,939,3,2699.0
00000000000000000000000e,5585,2,169.0
00000000000000000000000f,2158,1,379.0
00000000000000000000000f,4101,3,78.0
000000000000000000000010,1253,1,864.9
000000000000000000000010,3064,3,3319.0
000000000000000000000011,160,1,1149.0
000000000000000000000012,1974,3,39.9
000000000000000000000013,4364,2,209.0
000000000000000000000013,1031,3,750.0
000000000000000000000013,1052,1,1999.0
000000000000000000000013,5405,2,149.0
000000000000000000000014,5652,2,659.0
000000000000000000000014,1648,3,339.0
000000000000000000000014,2554,3,659.0
000000000000000000000015,2770,1,25.0
000000000000000000000016,483,1,249.0
000000000000000000000016,1876,2,1198.0
000000000000000000000016,553,1,39.0
000000000000000000000017,4678,3,149.9
000000000000000000000018,5399,2,499.99
000000000000000000000019,5294,1,379.0
000000000000000000000019,807,2,699.0
00000000000000000000001a,3676,1,1299.0
00000000000000000000001b,4509,1,42.9
00000000000000000000001b,803,3,94.0
00000000000000000000001c,3979,2,614.0
00000000000000000000001d,3199,2,549.0
00000000000000000000001e,3987,1,39.0
00000000000000000000001e,1269,2,749.0
00000000000000000000001f,469,2,998.0
00000000000000000000001f,411,3,2999.0
00000000000000000000001f,4786,3,135.0
000000000000000000000020,557,3,39.0
000000000000000000000021,4871,1,48.93
000000000000000000000022,2137,1,999.0
000000000000000000000023,2458,2,279.0
000000000000000000000023,3746,1,109.0
000000000000000000000024,1747,3,669.0
000000000000000000000025,1293,2,179.9
000000000000000000000026,4544,2,54.49
000000000000000000000027,877,3,2189.0
000000000000000000000028,5196,2,359.0
000000000000000000000029,3470,2,119.0
00000000000000000000002a,3620,3,1399.0
00000000000000000000002b,3025,3,2699.0
00000000000000000000002b,4772,1,99.96
00000000000000000000002c,1721,3,2149.0
00000000000000000000002c,5588,1,300.0
00000000000000000000002c,2045,2,739.0
00000000000000000000002d,1940,1,1279.0
00000000000000000000002d,1332,1,241.82
00000000000000000000002d,1451,3,299.0
00000000000000000000002d,3378,2,690.0
00000000000000000000002e,886,2,5339.0
00000000000000000000002f,1865,1,1789.0
000000000000000000000030,2287,2,329.0
000000000000000000000030,2877,3,378.9
000000000000000000000030,5256,3,159.0
000000000000000000000030,4174,2,99.9
000000000000000000000031,2175,1,259.0
000000000000000000000031,314,3,4019.0
000000000000000000000032,948,2,1070.9
000000000000000000000032,3156,1,4279.0
000000000000000000000032,4724,3,119.0
000000000000000000000032,1558,2,2099.0
000000000000000000000033,574,3,55.9
000000000000000000000034,2461,3,155.0
000000000000000000000034,4155,2,28.0
000000000000000000000034,2534,2,209.9
000000000000000000000035,3106,3,5999.0
000000000000000000000035,5549,1,44.9
000000000000000000000036,1722,2,2319.0
000000000000000000000037,1751,2,1528.0
000000000000000000000037,4188,3,89.0
000000000000000000000038,1925,3,1299.0
000000000000000000000039,3893,3,39.99
00000000000000000000003a,3146,2,4149.0
00000000000000000000003b,1793,2,1345.0
00000000000000000000003b,1441,1,119.99
00000000000000000000003b,4244,3,64.9
00000000000000000000003c,4579,2,79.9
00000000000000000000003c,4878,2,48.93
00000000000000000000003d,1304,2,99.9
00000000000000000000003d,3889,2,142.0
00000000000000000000003e,1960,2,1099.0
00000000000000000000003e,2250,1,339.0
00000000000000000000003f,1236,1,85.0
000000000000000000000040,4446,2,23.9
000000000000000000000040,3817,1,799.0
000000000000000000000041,161,1,1149.0
000000000000000000000041,4717,2,129.0
000000000000000000000041,3117,2,528.9
000000000000000000000041,3908,2,329.0
000000000000000000000042,1807,2,1299.0
000000000000000000000042,4000,2,99.99
000000000000000000000042,1798,2,1399.0
000000000000000000000043,3829,3,599.0
000000000000000000000043,1046,1,622.0
000000000000000000000043,5098,2,65.9
000000000000000000000044,3783,1,849.0
000000000000000000000045,3106,2,5999.0
000000000000000000000046,4419,2,25.9
000000000000000000000046,427,1,469.0
000000000000000000000047,1634,1,599.0
000000000000000000000047,167,1,3999.0
000000000000000000000047,5090,2,91.0
000000000000000000000047,1249,3,1299.0
000000000000000000000048,1375,3,190.0
000000000000000000000048,4964,3,34.0
000000000000000000000048,4975,1,19.96
000000000000000000000049,2556,3,99.9
00000000000000000000004a,5658,3,3829.0
00000000000000000000004b,4637,3,159.2
00000000000000000000004b,337,2,899.0
00000000000000000000004b,2845,3,199.0
00000000000000000000004c,865,3,419.0
00000000000000000000004c,3552,2,259.0
00000000000000000000004c,2968,3,1390.9
00000000000000000000004d,4409,2,99.0
00000000000000000000004d,3961,2,27.5
00000000000000000000004e,710,1,289.0
00000000000000000000004e,2285,2,269.9
00000000000000000000004e,3693,3,539.9
00000000000000000000004f,1738,2,3109.0
