category,name,brand_name,cmr_price,internet_price,event_price,normal_price,link,description,image_url,local_image
celulares,CELULAR REDMI A7 PRO 4GB RAM 128GBROM COLOR - NEGRO,XIAOMI,,599,,,https://www.falabella.com.pe/falabella-pe/product/153008267/celular-xiaomi-redmi-a7-pro-4gb-ram-128gbrom-color-negro/153008268,"BUSCAS UN TELEFONO POTENTE CON BUENA BATERIA TE PRESENTOEl Xiaomi Redmi A7 Pro cuenta con una pantalla HD+ de 6.9 pulgadas con tasa de refresco de 120Hz. Potenciado por un chip Unisoc T7250, el Redmi A7 Pro se alimenta de una batería de 6000 mAh, tiene lector de huellas, una cámara dual de 13MP, y corre Android 16Pantalla 6.9"", 720 x 1600 pixelsProcesador Unisoc T7250 1.8GHzMemoria RAM 4GBAlmacenamiento 64/128GBExpansión microSDCámara Dual, 50MP+AuxBatería 6000 mAhOS Android 16  Política de Garantía – Global Cell Tecnología EIRL-La garantía aplica solo por fallas de fábrica.- No cubre: golpes, signos de humedad o daños por malas actualizaciones.*Para hacer válida la garantía:-El producto debe estar en buen estado,-Debe incluir todos sus accesorios-Y presentar el comprobante de pago.* Pasados 15 días de haber recibido el producto, el cliente debe llevarlo a nuestra tienda física para su evaluación técnica.- El diagnóstico tomará un máximo de 15 días hábiles, donde se determinará el motivo de la falla.",https://media.falabella.com/falabellaPE/153008268_01/public,imagenes/00000_CELULAR_REDMI_A7_PRO_4GB_RAM_128GBROM_COLOR_-_NEGR.jpg
celulares,CELULAR A7 PRO 4RAM Y 64GB.,XIAOMI,,,449.90,650,https://www.falabella.com.pe/falabella-pe/product/155910738/celular-xiaomi-a7-pro-4ram-y-64gb/155910739,"El Xiaomi Redmi A7 Pro 4G cuenta con una pantalla HD+ de 6.9 pulgadas con tasa de refresco de 120Hz. Potenciado por un chip Unisoc T7250 con 4GB de RAM y hasta 64GB de almacenamiento interno, la variante 4G del Redmi A7 Pro se alimenta de una batería de 6000 mAh, tiene lector de huellas, una cámara dual de 13MP, y corre Android 16.Ficha técnicaPantalla6.9"", 720 x 1600 pixelsProcesadorUnisoc T7250 1.8GHzMemoria RAM4GBAlmacenamiento64GBExpansiónmicroSDCámaraDual, 50MP+AuxBatería6000 mAhOSAndroid 16Perfil8.2 mmPeso208 gSOMOS IMPORTACIONES LUNA-TEL para cualquier consulta o atención al cliente escríbenos al:<br>982214311- 989055137 - 974 386 353",https://media.falabella.com/falabellaPE/155910739_01/public,imagenes/00001_CELULAR_A7_PRO_4RAM_Y_64GB.jpg
celulares,Celular Y8P - 4GB RAM - 128GB - Color Negro,HUAWEI,,,815,999,https://www.falabella.com.pe/falabella-pe/product/143608553/Celular-HUAWEI-Y8P-4GB-RAM-128GB-Color-Negro/143608554,"Fotografía profesional en tu bolsilloDescubre infinitas posibilidades para tus fotos con las 3 cámaras principales de tu equipo. Pon a prueba tu creatividad y juega con la iluminación, diferentes planos y efectos para obtener grandes resultados.Además, el dispositivo cuenta con cámara frontal de 16 Mpx para que puedas sacarte divertidas selfies o hacer videollamadas.Mayor rendimientoSu memoria RAM de 4 GB permite que tu smartphone funcione de manera fluida y sin demoras al realizar distintas tareas, jugar o navegar.Desbloqueo facial y dactilarMáxima seguridad para que solo tú puedas acceder al equipo. Podrás elegir entre el sensor de huella dactilar para habilitar el teléfono en un toque, o el reconocimiento facial que permite un desbloqueo hasta un 30% más rápido.",https://media.falabella.com/falabellaPE/143608554_01/public,imagenes/00002_Celular_Y8P_-_4GB_RAM_-_128GB_-_Color_Negro.jpg
celulares,Celular multifuncional para Niños con Cámara y pantalla táctil Recargable color celeste ó verde,GENERICO,,,159.90,299,https://www.falabella.com.pe/falabella-pe/product/156368525/celular-multifuncional-para-ninos-con-camara-y-pantalla-tactil-recargable-color-celeste-o-verde/156368526,"Teléfono Inteligente táctil Infantil con Cámara y JuegosHaz que la diversión y el aprendizaje vayan de la mano con este teléfono inteligente infantil, diseñado especialmente para los más pequeños. Su diseño resistente y adorable, con funda de silicona protectora, lo convierte en el compañero ideal para jugar, explorar y desarrollar su creatividad.Características principales:Cámara para tomar fotografías.Grabación de video.Reproductor de música.Alarma.Grabadora de voz.Cronómetro.Juegos integrados para mayor entretenimiento.Batería recargable mediante cable USB.Funda de silicona suave que protege contra golpes y caídas.Diseño ergonómico y fácil de usar para niños.Este teléfono infantil es perfecto para estimular la imaginación, la creatividad y la independencia de los niños mientras disfrutan de un dispositivo seguro, divertido y fácil de manejar. Ideal como regalo para cumpleaños, Navidad o cualquier ocasión especial.Incluye: -1 celular color celeste ó verde-1 cable USBImportante: El color y el diseño del producto se enviarán de forma aleatoria, sujetos a disponibilidad de stock.",https://media.falabella.com/falabellaPE/156368526_01/public,imagenes/00003_Celular_multifuncional_para_Niños_con_Cámara_y_pan.jpg
celulares,CELULAR A7 PRO 4RAM Y 128GB.,XIAOMI,,,475,700,https://www.falabella.com.pe/falabella-pe/product/155911318/celular-xiaomi-a7-pro-4ram-y-128gb/155911319,"El Xiaomi Redmi A7 Pro 4G cuenta con una pantalla HD+ de 6.9 pulgadas con tasa de refresco de 120Hz. Potenciado por un chip Unisoc T7250 con 4GB de RAM y hasta 128GB de almacenamiento interno, la variante 4G del Redmi A7 Pro se alimenta de una batería de 6000 mAh, tiene lector de huellas, una cámara dual de 13MP, y corre Android 16.Ficha técnicaPantalla6.9"", 720 x 1600 pixelsProcesadorUnisoc T7250 1.8GHzMemoria RAM4GBAlmacenamiento128GBExpansiónmicroSDCámaraDual, 50MP+AuxBatería6000 mAhOSAndroid 16Perfil8.2 mmPeso208 gSOMOS IMPORTACIONES LUNA-TEL para cualquier consulta o atención al cliente escríbenos al:<br>982214311- 989055137 - 974 386 353",https://media.falabella.com/falabellaPE/155911319_01/public,imagenes/00004_CELULAR_A7_PRO_4RAM_Y_128GB.jpg
celulares,CELULAR REDMI A7 PRO 4GB RAM 128GBROM COLOR - AZUL,XIAOMI,,599,,,https://www.falabella.com.pe/falabella-pe/product/153007862/celular-xiaomi-redmi-a7-pro-4gb-ram-128gbrom-color-azul/153007863,"BUSCAS UN TELEFONO POTENTE CON BUENA BATERIA TE PRESENTOEl Xiaomi Redmi A7 Pro cuenta con una pantalla HD+ de 6.9 pulgadas con tasa de refresco de 120Hz. Potenciado por un chip Unisoc T7250, el Redmi A7 Pro se alimenta de una batería de 6000 mAh, tiene lector de huellas, una cámara dual de 13MP, y corre Android 16Pantalla 6.9"", 720 x 1600 pixelsProcesador Unisoc T7250 1.8GHzMemoria RAM 4GBAlmacenamiento 64/128GBExpansión microSDCámara Dual, 50MP+AuxBatería 6000 mAhOS Android 16  Política de Garantía – Global Cell Tecnología EIRL-La garantía aplica solo por fallas de fábrica.- No cubre: golpes, signos de humedad o daños por malas actualizaciones.*Para hacer válida la garantía:-El producto debe estar en buen estado,-Debe incluir todos sus accesorios-Y presentar el comprobante de pago.* Pasados 15 días de haber recibido el producto, el cliente debe llevarlo a nuestra tienda física para su evaluación técnica.- El diagnóstico tomará un máximo de 15 días hábiles, donde se determinará el motivo de la falla.",https://media.falabella.com/falabellaPE/153007863_01/public,imagenes/00005_CELULAR_REDMI_A7_PRO_4GB_RAM_128GBROM_COLOR_-_AZUL.jpg
celulares,CELULAR MOTO G17 4GB RAM 128GB ROM - ROSA.,MOTOROLA,,,529,999,https://www.falabella.com.pe/falabella-pe/product/156753326/celular-motorola-moto-g17-4gb-ram-128gb-rom-rosa/156753327,"CELULAR MOTOROLA MOTO G17 4GB RAM 128GB ROM - ROSA<br>Lleva tu experiencia móvil al siguiente nivel con el elegante Motorola Moto G17 en su atractivo color Rosa. Equipado con 128GB de almacenamiento interno y 4GB de memoria RAM, este smartphone es la opción perfecta para quienes buscan guardar miles de fotos, videos y aplicaciones sin preocuparse por el espacio. Su diseño moderno y ergonómico se complementa con un rendimiento fluido ideal para redes sociales, multitarea y entretenimiento diario.<br>Tecnología de Pantalla Fluida a 90Hz<br>Disfruta de una navegación visual sumamente suave y agradable para tus ojos. Su pantalla de alta resolución cuenta con una tasa de refresco dinámica que actualiza la imagen de forma más rápida que los paneles tradicionales. Esto se traduce en transiciones más fluidas al deslizar el menú, ver videos o disfrutar de tus videojuegos favoritos.<br>Audio Inmersivo con Tecnología Dolby Atmos<br>Lleva el sonido de tu contenido preferido a otra dimensión. Ya sea que escuches música directamente desde sus potentes parlantes estéreo o utilizando auriculares, esta avanzada tecnología de audio brinda una experiencia envolvente con frecuencias espaciales más claras, voces nítidas y graves profundos que te harán sentir en el centro de la acción.",https://media.falabella.com/falabellaPE/156753327_01/public,imagenes/00006_CELULAR_MOTO_G17_4GB_RAM_128GB_ROM_-_ROSA.jpg
celulares,CELULAR REDMI A7 PRO 4GB RAM 128GBROM COLOR - AZUL,XIAOMI,,599,,,https://www.falabella.com.pe/falabella-pe/product/153008254/celular-xiaomi-redmi-a7-pro-4gb-ram-128gbrom-color-azul/153008255,"BUSCAS UN TELEFONO POTENTE CON BUENA BATERIA TE PRESENTOEl Xiaomi Redmi A7 Pro cuenta con una pantalla HD+ de 6.9 pulgadas con tasa de refresco de 120Hz. Potenciado por un chip Unisoc T7250, el Redmi A7 Pro se alimenta de una batería de 6000 mAh, tiene lector de huellas, una cámara dual de 13MP, y corre Android 16Pantalla 6.9"", 720 x 1600 pixelsProcesador Unisoc T7250 1.8GHzMemoria RAM 4GBAlmacenamiento 64/128GBExpansión microSDCámara Dual, 50MP+AuxBatería 6000 mAhOS Android 16  Política de Garantía – Global Cell Tecnología EIRL-La garantía aplica solo por fallas de fábrica.- No cubre: golpes, signos de humedad o daños por malas actualizaciones.*Para hacer válida la garantía:-El producto debe estar en buen estado,-Debe incluir todos sus accesorios-Y presentar el comprobante de pago.* Pasados 15 días de haber recibido el producto, el cliente debe llevarlo a nuestra tienda física para su evaluación técnica.- El diagnóstico tomará un máximo de 15 días hábiles, donde se determinará el motivo de la falla.",https://media.falabella.com/falabellaPE/153008255_01/public,imagenes/00007_CELULAR_REDMI_A7_PRO_4GB_RAM_128GBROM_COLOR_-_AZUL.jpg
celulares,"Celular Básico A12 Dual SIM GSM 1.8 pantalla, cámara video, color negro",IPRO,,,59,90,https://www.falabella.com.pe/falabella-pe/product/156454839/celular-basico-ipro-a12-dual-sim-gsm-1-8-pantalla-camara-video-color-negro/156454840,"**Descripción corta**  El celular básico IPRO A12 Dual SIM GSM permite realizar y recibir llamadas y mensajes de texto de manera efectiva, ofreciendo funcionalidad de grabación de video y reproducción de medios. Diseñado para usuarios que buscan un dispositivo sencillo y accesible para comunicación y entretenimiento.**Beneficios principales**- Permite gestionar dos líneas telefónicas simultáneamente.- Facilita la grabación de videos para capturar momentos importantes.- Ofrece acceso a radio FM sin necesidad de conexión a internet.- Soporta reproducción de archivos de audio y video en MP3 y MP4.- Incorpora una linterna útil en situaciones de poca luz.**Características clave**- Pantalla LCD de 1.8 pulgadas.- Conectividad GSM para red de telefonía.- Ranura para tarjeta TF para expansión de almacenamiento.- Conector de auriculares de 3.5 mm.- Función de grabación de video.",https://media.falabella.com/falabellaPE/156454840_01/public,imagenes/00008_Celular_Básico_A12_Dual_SIM_GSM_18_pantalla_cámara.jpg
celulares,Celular Redmi A7 Pro 4GB/128GB,XIAOMI,399.90,419.90,,549.90,https://www.falabella.com.pe/falabella-pe/product/152659027/celular-xiaomi-redmi-a7-pro-black-4g-128gb-negro/152659026,"Celular Xiaomi Redmi A7 Pro 4GB/128GB                                                                                                              Celular Xiaomi Redmi A7 Pro 4GB/128GB<br>¡Descubre el nuevo Xiaomi Redmi A7 Pro! Con su impresionante pantalla de 6.9 pulgadas, te sumergirás en una experiencia visual sin igual. Disfruta de horas de entretenimiento y productividad gracias a su potente batería de 6000 mAh, diseñada para acompañarte todo el día y más allá. Captura tus mejores momentos con su cámara dual de 13 MP con IA, y vive la velocidad de la conectividad 4G.<br>Características<br>Este dispositivo te ofrece un rendimiento excepcional con su procesador Octa-Core y 4 GB de memoria RAM, garantizando fluidez en todas tus aplicaciones. Almacena todos tus recuerdos y archivos importantes en sus 128 GB de memoria interna, expandible si lo necesitas. La pantalla LCD te brinda colores vibrantes y detalles nítidos, mientras que su sistema operativo Android te da acceso a un mundo de posibilidades.<br>Complementa tu Celular Xiaomi Redmi A7 Pro 4GB/128GB<br>Complementa tu experiencia tecnológica con nuestros accesorios. Los tomacorrientes y enchufes son esenciales para mantener todos tus dispositivos cargados y listos para usar, asegurando que nunca te quedes desconectado. Estos elementos son clave para la funcionalidad de tu hogar o espacio de trabajo.",https://media.falabella.com/sodimacPE/4468821_01/public,imagenes/00009_Celular_Redmi_A7_Pro_4GB128GB.jpg
